productName,companyName,receptionNumber
Thực phẩm bảo vệ sức khỏe MyBiBi MÁT GAN MEDAY,CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ BIOGEN,4132/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe NippiKid Đề kháng,CÔNG TY TNHH DƯỢC PHẨM TRADIMED,4139/2024/ĐKSP
THỰC PHẨM BẢO VỆ SỨC KHỎE XƯƠNG KHỚP VŨ XUÂN ĐIỀU,CÔNG TY TNHH DƯỢC PHẨM VŨ XUÂN ĐIỀU,4138/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Siro HECATI Pelarmax,CÔNG TY CỔ PHẦN DƯỢC PHẨM SUNURI,4133/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe THIÊN DẠ VƯƠNG HPLUS,CÔNG TY CỔ PHẦN DƯỢC PHẨM 168,4140/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Phương Bảo Trà – Trà thanh nhiệt giải độc gan,Công ty cổ phần nghiên cứu và sản xuất dược phẩm Meracine,4137/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe AN XOANG SUNPLUS,CÔNG TY CỔ PHẦN DƯỢC PHẨM SUN FRANCE,4134/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TN - LIVER DETOX,CÔNG TY TNHH THIÊN NHIÊN PHARMA,4135/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BabyBum D3 K2,CÔNG TY TNHH DƯỢC PHẨM KIMIKO,4131/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Detox Liver 204,CÔNG TY CỔ PHẦN XNK DƯỢC QUỐC TẾ TÂN TRƯỜNG SINH,4136/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Goddess Panacea Nextuk Baitan Fluk Strength,CHI NHÁNH HÒA BÌNH - CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ VIỆT NAM ANH QUỐC TRƯỜNG ĐẠI HƯNG,4128/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Nature Beauty,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ NATURE GROUP,4127/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Gel dạ dày Nghệ Đen Natucumin,CÔNG TY CỔ PHẦN TM NATULIFE VIỆT NAM,4130/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Collagen Damian NMN,CÔNG TY TNHH TÂN PHÁT GROUP,4129/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ DNA-Fermin,CÔNG TY CP DƯỢC - VẬT TƯ Y TẾ NGHỆ AN,4121/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe WELLFORCE GOLDENGOS,CÔNG TY TNHH MEDIMAP,4122/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Sara Collagen,CÔNG TY CỔ PHẦN NHÀ MÁY BÁCH THẢO DƯỢC,4123/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Viên ngậm H 09 BTG,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM BẢO TÍN,4125/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Fibro-B,CÔNG TY CỔ PHẦN NHÀ MÁY BÁCH THẢO DƯỢC,4124/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe PROB SIRO LÁ THƯỜNG XUÂN,CÔNG TY TNHH DƯỢC PHẨM CITIFA,4126/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BỔ PHẾ DANKA,Công ty TNHH Dược phẩm Nhất Nhất,4116/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe KOSABIR PLUS,CÔNG TY CỔ PHẦN DƯỢC PHẨM OPC,4112/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ AN VỊ CHÂN TÂM ĐƯỜNG,CÔNG TY CỔ PHẦN Y DƯỢC QUỐC TẾ HANOPHARM,4119/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ ATISO PLUSS,CÔNG TY TNHH WISCONSIN LINCOLN PHARMA,4113/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ AN THẦN CHÂN TÂM ĐƯỜNG,CÔNG TY CỔ PHẦN Y DƯỢC QUỐC TẾ HANOPHARM,4120/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Ginko brain gold TN,CÔNG TY TNHH DƯỢC PHẨM TRUNG NGUYỄN,4118/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe RUKOSHI PLUS i-MITF,Công ty TNHH ĐT&TM RUKOSHI,2973/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TIỂU ĐÊM NHẤT NHẤT,Công ty TNHH Dược phẩm Nhất Nhất,4114/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ALCON DANKA,Công ty TNHH Dược phẩm Nhất Nhất,4117/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe SOINIEU DANKA,Công ty TNHH Dược phẩm Nhất Nhất,4115/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ULTIM TALLERK,CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ PHÚC HƯNG,4108/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Colungnam An Giấc,CÔNG TY TNHH DƯỢC PHẨM XUÂN QUANG,4111/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe NƯỚC ATISO OPC,CÔNG TY CỔ PHẦN DƯỢC PHẨM OPC,4109/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe FE - FOLIC BIPHARCO,CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ BIPHARCO,4110/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Tố Nữ X10 Trinh nữ Châu Âu,CÔNG TY TNHH KHẢI MINH ECO,3686/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ RICH COENZYME Q10,CÔNG TY CỔ PHẦN 5SPRO,4107/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Dạ dày phosmagel,CÔNG TY TNHH DƯỢC THẢO NHÂN SINH,4106/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ DƯỠNG GAN KHANG CỬU TÔN,Công ty TNHH Dược Phẩm Cửu Tôn,4105/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe KIỆN KHỚP CỬU TÔN,Công ty TNHH Dược Phẩm Cửu Tôn,4104/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ PLEXKID CalD3K2 Grow,Công ty TNHH Nacopharm Miền Bắc,4103/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe SOPHIE,CÔNG TY TNHH THƯƠNG MẠI DAYSTAR,4101/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ATMYTOL MEN,CÔNG TY CỔ PHẦN DƯỢC PHẨM AN THỊNH PHARMA,4099/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Nattotiendinh Brainsavior,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM DUBAI,3712/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Bổ thần kinh ATPlus,CÔNG TY CỔ PHẦN DƯỢC PHẨM AN THỊNH PHARMA,4100/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe OMEXXEL ROYAL,Công ty Cổ phần Reli USA,4102/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BỔ THẦN KINH S5000,CÔNG TY TRÁCH NHIỆM HỮU HẠN DƯỢC PHẨM APEC,4098/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe D-Toxyl,CÔNG TY CỔ PHẦN L.W LOVE WELLNESS,4097/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BONAGIN PLUS,Công ty TNHH dược và thiết bị y tế Khang Phúc,4094/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Zircon men,CÔNG TY CỔ PHẦN DƯỢC PHẨM NEW WORLD,4096/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ZINCOBA,CÔNG TY CỔ PHẦN DƯỢC MỸ PHẨM QUỐC TẾ ĐỨC HƯNG,4095/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe C Rutin PM,CÔNG TY TNHH DƯỢC PHẨM QUỐC TẾ PHÚ MINH,4089/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe CANXI SỮA TRUEMILK,CÔNG TY TNHH DƯỢC MỸ PHẨM LE'PHARCO FRANCE,4090/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ VIÊN UỐNG BỔ THẬN DIL MENUP+,CÔNG TY TNHH DƯỢC PHẨM DIL PHARMA,4091/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe DECAROL,CÔNG TY CỔ PHẦN US PHARMA USA,4093/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BỔ NÃO - MẮT DHA CHO TRẺ LIZING BRAIN kid EYE,CÔNG TY TNHH DƯỢC MỸ PHẨM LINH CHI KOREA,4092/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe WINTAC PLUS,CÔNG TY CỔ PHẦN VILLAMED,4088/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe KIỆN TOÀN ÁP ĐẠI HỒNG PHÚC,CÔNG TY TNHH Y HỌC CỔ TRUYỀN ĐẠI HỒNG PHÚC,4087/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe DI NIỆU ĐAN,CÔNG TY CỔ PHẦN DƯỢC PHẨM ABIKA VIỆT NAM,4084/2024/ĐKSP
Sản phẩm: Thực phẩm bảo vệ sức khỏe BRAIN HEALTH ACK,CÔNG TY CỔ PHẦN QUỐC TẾ ACK,4083/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe GLUCANKID DAILY DROPS,CÔNG TY CỔ PHẦN CÔNG NGHỆ HÓA SINH VIỆT NAM,4086/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Xương Khớp Flexbs,CÔNG TY CỔ PHẦN DƯỢC PHẨM SVIET,4085/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe SMILE MOM,Công ty cổ phần công nghệ và dược phẩm Châu Âu,4082/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe DẠ THANH KHANG,CÔNG TY CỔ PHẦN DƯỢC PHẨM - DƯỢC LIỆU HÀ NỘI,4080/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe EYE ZEAXANTHIN GMN,CÔNG TY TNHH DƯỢC PHẨM TRUNG ƯƠNG GERMANY,4081/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe RELAX TONE,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ NHẬP KHẨU LE'RELAX,4078/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe: CÂN CỐT LINH THIÊN QUANG,CÔNG TY TNHH MỘT THÀNH VIÊN ĐÔNG Y DƯỢC THIÊN QUANG,4077/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Viên Tiểu Đêm Nhật Minh,CÔNG TY TNHH THƯƠNG MẠI LOTUS NHẬT MINH,4079/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ORIFIBERUSA,CÔNG TY CỔ PHẦN DƯỢC PHẨM LIÊN DOANH FOXS – USA,4076/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HuacomplexPlus,CÔNG TY TNHH HUA CARE,4075/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Tapha L- Arginin,CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ VINACOPHARM,4074/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe CAL CARE ANK7,CÔNG TY CỔ PHẦN DƯỢC PHẨM ANKO'R CONNECTIONS,4073/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Đông trùng ăn ngủ ngon eco,CÔNG TY TNHH NAM CHÂU PHARMA,4072/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Bổ huyết điều kinh Premium,CÔNG TY CỔ PHẦN TITAFA,4071/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ HOẠT HUYẾT TIỀN ĐÌNH RB,CÔNG TY TNHH ROBIN GROUP,4070/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe AN THẦN NHẤT NHẤT,Công ty TNHH Dược phẩm Nhất Nhất,4065/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe GANZIN PLUS,CÔNG TY TNHH DƯỢC PHẨM TRÍ DŨNG,4069/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe OMEGA 3.6.9 Tachito,CÔNG TY CỔ PHẦN TACHITO,4064/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ VHIMMUNOVI,CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM Y TẾ VIỆT HƯNG,4066/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Tauginko 250 STELLA,CÔNG TY TNHH LIÊN DOANH STELLAPHARM,4068/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe: Tauginko 500 STELLA,CÔNG TY TNHH LIÊN DOANH STELLAPHARM,4067/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe CHIROMOM,CÔNG TY TNHH THƯƠNG MẠI VÀ DƯỢC PHẨM MINH PHƯỚC,4063/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Rulby An Giáp,CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI PHÚC HẬU,4059/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Rutin c BB,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BLUE&BLUE,4060/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BỔ HUYẾT AN KINH ECOCARE,CÔNG TY TNHH DP ECOCARE VIỆT NAM,4058/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BỔ THẦN KINH BA NHẤT,CÔNG TY CỔ PHẦN LIÊN DOANH DƯỢC G&P - FRANCE,4056/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe DINOSMART CALCI,CÔNG TY CỔ PHẦN THƯƠNG MẠI TRÍ DƯỢC,4061/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BioPharma HPV6,CÔNG TY TNHH BIOPHARMA,4062/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe KIM NIỆU THẢO,CÔNG TY CỔ PHẦN DƯỢC PHẨM UNITY PHARMA,4055/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Xương Khớp Hasuca Extra,CÔNG TY TNHH DP NHÂN AN,4057/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Ngự Vương Đan Promax,CÔNG TY CỔ PHẦN DƯỢC PHẨM LOREX,4054/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe LACKID,CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM ÚC CHÂU,4050/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe IMUSY KIDS D3K2A,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DƯỢC PHẨM PHÚ NGUYÊN,4053/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe THYMOMAX VCARE,CÔNG TY CỔ PHẦN DƯỢC PHẨM VIETCARE HÀ NỘI,4051/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Siro OZinC P/A,Công ty Cổ phần Nghiên cứu thảo dược công nghệ cao Pháp Anh,4049/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Active Hemobin,CÔNG TY TNHH DƯỢC PHẨM TTB THIÊN AN,4052/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe EVALOVE,CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ BIOGEN,4045/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ S-Calcium,CÔNG TY CỔ PHẦN DƯỢC PHẨM SANTEPHAR,4042/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HOTUX,CÔNG TY CỔ PHẦN THƯƠNG MẠI DƯỢC SAO MAI,4043/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Đạm Dinh Dưỡng BenoGold,CÔNG TY CỔ PHẦN DƯỢC PHẨM BENO PHARMA,4039/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Collagen JP,CÔNG TY TRÁCH NHIỆM HỮU HẠN MULTIPHAR,4040/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Tố nữ Hacofa,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ VINAMAX,4047/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe VIÊN KHỚP NEW BONE FOTECPHAM POWER,CÔNG TY CỔ PHẦN Y DƯỢC FOTECPHAM VIỆT NAM,4044/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Đa vi Sky Health,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM SKY HEALTH,4048/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BASIC NUTRION MULTI VITAMINS,CÔNG TY TNHH THU KHANG,4046/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Hoạt huyết dưỡng não ginkobiloba,CÔNG TY TNHH TÂN DƯỢC PHARMA,4041/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Super Grow up High,Công ty TNHH Kangmi,4038/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BABY & KIDS OMEGA3,Công ty cổ phần tập đoàn An Việt,4037/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ BRATIT,CÔNG TY CỔ PHẦN THƯƠNG MẠI ATT VIỆT NAM,4036/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Feripro,CÔNG TY TNHH AN CARE PHARMA,4035/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe MOM CARE,CÔNG TY TNHH XUẤT NHẬP KHẨU VÀ THƯƠNG MẠI AKIKO,4034/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe NITASORA,CÔNG TY TNHH Y TẾ SORAICINE,4033/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Viên Xoang Extra,CÔNG TY TNHH DƯỢC PHẨM MEDICOPHAR,4032/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe VIÊN BỔ NÃO TIỀN ĐÌNH BETA GINK,CÔNG TY TNHH DƯỢC MỸ PHẨM LE'PHARCO FRANCE,4031/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TN-Brain Gold,CÔNG TY TNHH THIÊN NHIÊN PHARMA,4030/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TN- enter Bio,CÔNG TY TNHH THIÊN NHIÊN PHARMA,4026/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ TendoMobi T,CÔNG TY CỔ PHẦN THƯƠNG MẠI NOVABELL PHARMA,4029/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe STRONGBONES - TH,CÔNG TY TNHH DƯỢC PHẨM THÁI HÀ,4021/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe CND GINSENG RED NHÂN SÂM HÒA TAN PLUS,CÔNG TY TNHH SÂM BẮC MỸ CND,4027/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Nhiệt miệng MOJITODETOX HITOKUCHI,CÔNG TY CỔ PHẦN LIÊN DOANH DƯỢC PHẨM TAKADA NHẬT BẢN,4020/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Sumo albuliver gold,CÔNG TY CỔ PHẦN THƯƠNG MẠI DƯỢC PHẨM SUMOPHACO,4025/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Gold sury,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI ĐẸP KHỎE 247,4023/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Viên tiểu đêm namnu Uni,CÔNG TY CỔ PHẦN DƯỢC PHẨM UNIFACO,4022/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe LIPOCAL MK7 HSC,CÔNG TY TNHH DƯỢC PHẨM HASCO,4024/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe CND GINSENG DƯỠNG KHỚP HÒA TAN,CÔNG TY TNHH SÂM BẮC MỸ CND,4028/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe COCO PROBIOTIC,CÔNG TY TNHH DƯỢC PHẨM IDOCTOR,4019/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe 3B ĐÔNG TRÙNG LINH CHI ALPHA,CÔNG TY TNHH DƯỢC PHẨM STAR ALPHA,4018/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ HOẠT HUYẾT DƯỠNG NÃO DT,CÔNG TY CỔ PHẦN ĐÔNG Y DÂN TỘC,4015/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe OMEGA 3.6.9 CARE,CÔNG TY TNHH LIÊN DOANH DƯỢC PHẨM TECH FRANCE,4017/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Babiboss D3K2MK7,CÔNG TY CỔ PHẦN DƯỢC PHẨM SUN FRANCE,4016/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe UROCODY,Công ty cổ phần công nghệ cao Traphaco,4014/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ BỔ MẮT NÃO J-BRAINIQ,CÔNG TY TNHH DƯỢC PHẨM MEDI JAPAN VIỆT NAM,4009/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ SUPER KIDS FER & VITAMINS,CÔNG TY TNHH MTV ĐẦU TƯ VÀ THƯƠNG MẠI LÂN NGUYỄN,4013/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe DƯỠNG NÃO BA NHẤT,CÔNG TY CỔ PHẦN LIÊN DOANH DƯỢC G&P - FRANCE,4012/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe WOMANCAPS,CÔNG TY CỔ PHẦN NUTRAMED,4010/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe MAGNESI B6FAST,CÔNG TY CỔ PHẦN QUỐC TẾ NOSAPHARMA,4008/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Viên Đường huyết STABIGLU DT,CÔNG TY CỔ PHẦN THƯƠNG MẠI DƯỢC PHẨM ĐÔNG THÀNH,4011/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe DẠ DÀY VCOS,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VCOS,4007/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe THONGMACH SAMAN,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ HƯƠNG VIỆT,4006/2024/ĐKSP
"Thực phẩm bảo vệ sức khỏe Trà Nubori Bảo Long vị Gừng, Cam thảo",CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,4005/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Arravite Women’s Healthy Microflora Probiotic Double Strength,CÔNG TY TNHH ĐẦU TƯ XUẤT NHẬP KHẨU HOAN TT,4004/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe KROSLIN,CÔNG TY TNHH ANDY PHARMA VIỆT NAM,4003/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe COD CALM NOBLE SILENCE,CÔNG TY TNHH CIMINID,4002/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Cốm vi sinh Bio-meracine Diamond,Công ty cổ phần nghiên cứu và sản xuất dược phẩm Meracine,4001/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HOATUX,CÔNG TY CỔ PHẦN DƯỢC PHẨM BẾN TRE,4000/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe OFICAL,CÔNG TY TNHH DƯỢC PHẨM & THIẾT BỊ Y TẾ TIPHACO,3999/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BRAIT CHUNGIHYEON,CÔNG TY TNHH MỘT THÀNH VIÊN CHUNMANI VIỆT NAM,3998/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ ERECAMAN,CÔNG TY CỔ PHẦN QUỐC TẾ MITAKA,3997/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BỔ THẦN KINH 3B ĐQ GOLD,CÔNG TY THHN THẢO DƯỢC ĐQ PHARMA,3673/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Viên Bổ Thận Tráng Dương P/A,Công ty Cổ phần Nghiên cứu thảo dược công nghệ cao Pháp Anh,3994/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe CAO MỀM ACTISO LƯU LUYẾN,CÔNG TY TNHH TINH CHẤT VIỆT H G,3992/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe FASTALCO BAYER,CÔNG TY CỔ PHẦN DP BAYER PHARM,3634/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe EUNANOKID BICAL,CÔNG TY CỔ PHẦN THƯƠNG MẠI EUPHARMA,3990/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe PNP Power,CÔNG TY CỔ PHẦN DƯỢC PHẨM PHÚC NGUYÊN PHÁT PHARMA,3991/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Tadimin plus,CÔNG TY CỔ PHẦN DƯỢC PHẨM THỤC ANH,3995/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ELLAGIC ACID,CÔNG TY CỔ PHẦN 5SPRO,3993/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe EUNANOKID BỔ MẮT,CÔNG TY CỔ PHẦN THƯƠNG MẠI EUPHARMA,3989/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe VIÊN UỐNG SAFFRON MACA NỘI TIẾT,CÔNG TY TNHH DƯỢC MỸ PHẨM LE'PHARCO FRANCE,3996/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe SÁNG ĐẸP DA BEAUTY DAY-NIGHT,CÔNG TY TNHH DP ECOCARE VIỆT NAM,3985/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ LIPOCAL DQ,CÔNG TY TNHH DƯỢC PHẨM VÀ TBYT ĐĂNG QUANG,3986/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe MEXCURMIN ĐẠI TRÀNG GOLD,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ VIRA HEALTH,3984/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BEN-CIN 660,CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ BENMAX – ĐỨC,3988/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe AN ĐƯỜNG KHANG PHOENIX,CÔNG TY TNHH DƯỢC PHẨM PHOENIX PHARMA,3983/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Hebeli Gastronic,CÔNG TY CỔ PHẦN DƯỢC MINH MINH,3982/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Bamicool thanh nhiệt mát gan,CÔNG TY CỔ PHẦN DƯỢC PHẨM BÁCH MINH,3979/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Diabe Glucora,CÔNG TY TNHH DƯỢC PHẨM NAPHARCO,3981/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Yalla Liver Plus Premium,CÔNG TY CỔ PHẦN QUỐC TẾ DƯỢC PHẨM YALLA,3987/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe 30B VP,CÔNG TY TNHH DƯỢC PHẨM PARIS - PHÁP,3980/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Glutathione X10,CÔNG TY TNHH KHẢI MINH ECO,3970/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe SIRO ÍCH PHẾ PV,CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ PHONG VŨ PHARMA,3975/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TERVININ,CÔNG TY CỔ PHẦN DƯỢC VẬT TƯ Y TẾ THÀNH VINH,3973/2024/ĐKSP
